;eksik_sayi;eksik_oran_yuzde
kredi_karti_tahsilati;636993;100,0
nakit_tahsilat;636470;99,91789548707757
mahsuben_tahsilat;629451;98,81599954787572
banka_tahsilati;8060;1,2653200270646616
