musteri_segmenti;musteri_sayisi;toplam_tuketim_kwh;toplam_tahakkuk_tutar;toplam_kalan_bakiye;ortalama_risk_skoru;medyan_risk_skoru;ortalama_deger_skoru;musteri_payi_yuzde;tahakkuk_payi_yuzde;bakiye_payi_yuzde
Standart değer - düzenli;41631;21254982,31;117743461,17;178157,12000000005;12,650506023233232;7,183843863007872;42,04126995840644;78,15679795742125;25,22955015160699;46,36147488603115
Standart değer - riskli;981;34135,28;142098,04;20998,81;53,9734970898464;51,972170751319794;16,646474698772032;1,841700146434874;0,03044814201146059;5,464478783960694
Yüksek değer - düzenli;10649;88479073,96;348562800,41;185122,44000000044;10,955661090461057;4,870081708729119;84,17178833431682;19,99211504524462;74,68850131075752;48,17404633000817
Yüksek değer - riskli;5;77324,43000000001;240346,53000000003;2,2737367544323206e-12;52,250615566298436;51,90758697153306;90,86494198926144;0,009386850899260316;0,05150039562404783;5,916900174298954e-16
